epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9521,1.09883,1.41176,1.22905,0.6434,0.54266,0.61433,0.45421,1.08926,1.11002,1.12999,8.33e-06,8.33e-06,8.33e-06
2,16.3296,1.2028,1.4013,1.26912,0.68943,0.53796,0.62681,0.46602,1.07805,1.07178,1.12391,1.76733e-05,1.76733e-05,1.76733e-05
3,21.3177,1.07188,1.34706,1.19269,0.69513,0.54225,0.63588,0.47144,1.07259,1.05125,1.1195,2.68281e-05,2.68281e-05,2.68281e-05
4,25.0658,1.11154,1.33721,1.22482,0.70716,0.56641,0.64882,0.48004,1.06883,1.03158,1.11649,3.57944e-05,3.57944e-05,3.57944e-05
5,28.8087,1.13511,1.29004,1.23323,0.71148,0.58833,0.66315,0.49581,1.05734,1.01128,1.10844,4.45722e-05,4.45722e-05,4.45722e-05
6,34.9131,1.14331,1.26148,1.21518,0.69812,0.61127,0.67479,0.50636,1.04912,0.99488,1.10171,5.31615e-05,5.31615e-05,5.31615e-05
7,38.694,1.13006,1.17234,1.20406,0.72968,0.63577,0.68955,0.51718,1.04471,0.9744,1.09798,6.15623e-05,6.15623e-05,6.15623e-05
8,42.4222,1.14826,1.16313,1.18751,0.73345,0.65579,0.69815,0.52367,1.03987,0.94641,1.09315,6.97746e-05,6.97746e-05,6.97746e-05
9,46.4654,1.08771,1.18851,1.17693,0.74162,0.66952,0.71115,0.53558,1.02492,0.90992,1.08454,7.77984e-05,7.77984e-05,7.77984e-05
10,52.6416,1.08464,1.14516,1.16112,0.75395,0.67234,0.71902,0.54043,1.01371,0.884,1.07543,8.56337e-05,8.56337e-05,8.56337e-05
11,56.4133,1.04786,1.13169,1.17885,0.77971,0.67074,0.73011,0.55082,1.00824,0.84866,1.06962,9.32805e-05,9.32805e-05,9.32805e-05
12,60.0716,1.0415,1.02585,1.1502,0.7959,0.66797,0.73607,0.56072,0.99963,0.82773,1.0629,0.000100739,0.000100739,0.000100739
13,64.5388,1.07633,1.06897,1.18871,0.83114,0.64595,0.74357,0.57346,0.98986,0.81546,1.05604,0.000104863,0.000104863,0.000104863
14,71.207,1.01182,1.07012,1.14311,0.81632,0.65592,0.74976,0.57817,0.97946,0.80145,1.05256,0.000103685,0.000103685,0.000103685
15,74.9175,1.03572,0.99979,1.1375,0.79225,0.67707,0.75852,0.58164,0.96602,0.78755,1.04418,0.000102507,0.000102507,0.000102507
16,78.6721,0.96369,0.93834,1.11393,0.77546,0.69035,0.77346,0.59187,0.95919,0.77243,1.03939,0.000101329,0.000101329,0.000101329
17,84.1846,1.0462,0.9807,1.16367,0.84366,0.65619,0.77767,0.59687,0.95033,0.75827,1.03306,0.00010015,0.00010015,0.00010015
18,88.2007,1.0468,0.99905,1.1424,0.74898,0.72361,0.7848,0.60425,0.94169,0.74319,1.02934,9.89723e-05,9.89723e-05,9.89723e-05
19,91.8565,1.02132,0.9691,1.13301,0.76906,0.72863,0.78738,0.61475,0.93239,0.73274,1.02591,9.77942e-05,9.77942e-05,9.77942e-05
20,95.7691,1.02999,0.98378,1.14225,0.78268,0.71427,0.79302,0.61713,0.92308,0.72504,1.02323,9.66161e-05,9.66161e-05,9.66161e-05
21,101.801,0.99423,0.91429,1.10864,0.77781,0.7413,0.7974,0.61984,0.90771,0.71432,1.01621,9.5438e-05,9.5438e-05,9.5438e-05
22,105.537,0.95787,0.88698,1.07611,0.77546,0.74688,0.80102,0.62927,0.90153,0.70848,1.01169,9.42599e-05,9.42599e-05,9.42599e-05
23,109.272,0.98398,0.89076,1.10901,0.75802,0.75889,0.8069,0.62929,0.89531,0.70446,1.00723,9.30818e-05,9.30818e-05,9.30818e-05
24,113.599,1.00459,0.90764,1.11574,0.76952,0.7623,0.81721,0.63547,0.88735,0.70065,1.00373,9.19037e-05,9.19037e-05,9.19037e-05
25,119.398,0.99706,0.93536,1.10477,0.79693,0.77575,0.82482,0.64148,0.87789,0.6941,1.00099,9.07256e-05,9.07256e-05,9.07256e-05
26,123.066,0.93787,0.8943,1.10071,0.80012,0.77511,0.8333,0.6511,0.87242,0.68428,0.99982,8.95475e-05,8.95475e-05,8.95475e-05
27,126.757,0.97478,0.87401,1.10283,0.79931,0.77832,0.83684,0.65056,0.86728,0.67313,0.99911,8.83694e-05,8.83694e-05,8.83694e-05
28,131.203,0.94299,0.84577,1.09464,0.80729,0.78431,0.84081,0.65518,0.86123,0.6631,0.99569,8.71913e-05,8.71913e-05,8.71913e-05
29,136.828,0.96112,0.86332,1.10567,0.81387,0.77895,0.84102,0.65554,0.85692,0.65339,0.99229,8.60132e-05,8.60132e-05,8.60132e-05
30,140.551,0.96671,0.8879,1.09503,0.8177,0.77483,0.84247,0.66356,0.85172,0.64861,0.98949,8.48351e-05,8.48351e-05,8.48351e-05
31,144.29,0.99193,0.91604,1.11255,0.84301,0.76393,0.843,0.66205,0.8484,0.64665,0.9859,8.3657e-05,8.3657e-05,8.3657e-05
32,149.243,0.94777,0.84129,1.07486,0.86331,0.76141,0.84694,0.66735,0.84142,0.6404,0.98143,8.24789e-05,8.24789e-05,8.24789e-05
33,154.288,0.93163,0.83506,1.08939,0.86965,0.75803,0.84876,0.67203,0.83415,0.63468,0.97728,8.13008e-05,8.13008e-05,8.13008e-05
34,157.985,0.91884,0.8374,1.07881,0.85778,0.76533,0.84886,0.67395,0.83037,0.62828,0.97463,8.01227e-05,8.01227e-05,8.01227e-05
35,161.664,0.87903,0.81998,1.08537,0.85826,0.76464,0.8502,0.68018,0.82855,0.62259,0.97243,7.89446e-05,7.89446e-05,7.89446e-05
36,166.843,0.88823,0.80508,1.0813,0.8528,0.76092,0.84849,0.68447,0.82448,0.61726,0.97115,7.77665e-05,7.77665e-05,7.77665e-05
37,171.632,0.93395,0.84712,1.08696,0.86607,0.75325,0.85236,0.68951,0.82002,0.61147,0.96941,7.65884e-05,7.65884e-05,7.65884e-05
38,175.353,0.94784,0.84176,1.08982,0.8356,0.77301,0.84974,0.68676,0.81648,0.60691,0.96765,7.54103e-05,7.54103e-05,7.54103e-05
39,179.022,0.89982,0.79983,1.06044,0.82217,0.78978,0.85621,0.68651,0.8151,0.60868,0.96675,7.42322e-05,7.42322e-05,7.42322e-05
40,184.488,0.9093,0.81417,1.07318,0.84497,0.77793,0.85631,0.68815,0.80997,0.61067,0.96425,7.30541e-05,7.30541e-05,7.30541e-05
41,189.174,0.93207,0.83143,1.06908,0.8191,0.79611,0.85432,0.68776,0.80851,0.61119,0.96302,7.1876e-05,7.1876e-05,7.1876e-05
42,192.79,0.90463,0.80517,1.09777,0.80217,0.80924,0.86285,0.69133,0.80734,0.60902,0.96212,7.06979e-05,7.06979e-05,7.06979e-05
43,196.49,0.8781,0.76626,1.05047,0.79362,0.81634,0.86284,0.69381,0.80186,0.60042,0.96002,6.95198e-05,6.95198e-05,6.95198e-05
44,202.214,0.90725,0.78255,1.07861,0.88685,0.7547,0.86434,0.69464,0.79848,0.59389,0.95854,6.83417e-05,6.83417e-05,6.83417e-05
45,206.717,0.82875,0.74967,1.05553,0.81966,0.80629,0.8671,0.70098,0.79629,0.58988,0.95695,6.71636e-05,6.71636e-05,6.71636e-05
46,210.394,0.85867,0.76535,1.07147,0.82825,0.805,0.86825,0.70575,0.7911,0.58112,0.9561,6.59855e-05,6.59855e-05,6.59855e-05
47,214.029,0.88734,0.76369,1.0538,0.82834,0.79974,0.87184,0.70732,0.78604,0.57592,0.95384,6.48074e-05,6.48074e-05,6.48074e-05
48,219.576,0.88261,0.76032,1.04992,0.79661,0.82935,0.87414,0.71017,0.78121,0.57824,0.95257,6.36293e-05,6.36293e-05,6.36293e-05
49,223.839,0.92606,0.7932,1.0795,0.80748,0.82087,0.87365,0.71198,0.7787,0.58008,0.95204,6.24512e-05,6.24512e-05,6.24512e-05
50,227.574,0.88929,0.76703,1.07446,0.82911,0.81853,0.87701,0.7166,0.77307,0.57527,0.94985,6.12731e-05,6.12731e-05,6.12731e-05
51,231.435,0.88488,0.75155,1.04961,0.82863,0.81148,0.87671,0.71602,0.77192,0.56776,0.94841,6.0095e-05,6.0095e-05,6.0095e-05
52,237.198,0.89015,0.77724,1.06179,0.81883,0.813,0.87058,0.71621,0.77083,0.56331,0.94731,5.89169e-05,5.89169e-05,5.89169e-05
53,241.234,0.86698,0.73593,1.05342,0.83323,0.81116,0.87482,0.71769,0.76679,0.55777,0.94456,5.77388e-05,5.77388e-05,5.77388e-05
54,244.914,0.90689,0.78767,1.05726,0.83511,0.81281,0.87551,0.71768,0.76394,0.55605,0.94271,5.65607e-05,5.65607e-05,5.65607e-05
55,248.752,0.87212,0.74903,1.04422,0.83534,0.81429,0.87555,0.71622,0.76103,0.55676,0.94162,5.53826e-05,5.53826e-05,5.53826e-05
56,254.804,0.83165,0.75189,1.03032,0.894,0.77532,0.875,0.71731,0.75806,0.55781,0.9407,5.42045e-05,5.42045e-05,5.42045e-05
57,258.613,0.84224,0.7207,1.04477,0.89839,0.7798,0.87748,0.71491,0.75459,0.55651,0.9392,5.30264e-05,5.30264e-05,5.30264e-05
58,262.285,0.87564,0.73054,1.05556,0.90847,0.78288,0.87086,0.71633,0.75202,0.55228,0.93738,5.18483e-05,5.18483e-05,5.18483e-05
59,266.338,0.86741,0.73199,1.06404,0.91673,0.77514,0.87031,0.71752,0.74807,0.54955,0.93576,5.06702e-05,5.06702e-05,5.06702e-05
60,272.038,0.84766,0.70927,1.03147,0.91185,0.77499,0.86915,0.71604,0.74588,0.54591,0.93462,4.94921e-05,4.94921e-05,4.94921e-05
61,275.793,0.85241,0.7063,1.01055,0.91007,0.7759,0.87205,0.71874,0.74711,0.54365,0.93393,4.8314e-05,4.8314e-05,4.8314e-05
62,279.532,0.85232,0.77716,1.05026,0.91174,0.77872,0.87935,0.72257,0.74323,0.54225,0.93251,4.71359e-05,4.71359e-05,4.71359e-05
63,283.587,0.87653,0.73851,1.03311,0.81948,0.83897,0.87929,0.72407,0.74035,0.54191,0.93143,4.59578e-05,4.59578e-05,4.59578e-05
64,289.84,0.86776,0.73578,1.04342,0.82698,0.83217,0.87842,0.72745,0.73741,0.54342,0.92988,4.47797e-05,4.47797e-05,4.47797e-05
65,293.533,0.87575,0.75214,1.05664,0.80268,0.8515,0.87984,0.7261,0.73568,0.54418,0.92917,4.36016e-05,4.36016e-05,4.36016e-05
66,297.136,0.82854,0.70864,1.0418,0.88191,0.79186,0.88034,0.72815,0.73645,0.54616,0.92921,4.24235e-05,4.24235e-05,4.24235e-05
67,301.34,0.86165,0.69876,1.04298,0.88193,0.79379,0.88284,0.73157,0.73565,0.54366,0.92941,4.12454e-05,4.12454e-05,4.12454e-05
68,307.196,0.84473,0.71148,1.03264,0.79849,0.85497,0.8806,0.72752,0.73479,0.53942,0.9287,4.00673e-05,4.00673e-05,4.00673e-05
69,310.951,0.90486,0.76345,1.06748,0.81518,0.84473,0.88064,0.72782,0.73307,0.53625,0.92821,3.88892e-05,3.88892e-05,3.88892e-05
70,314.609,0.82415,0.69716,1.02896,0.84777,0.82377,0.88233,0.72934,0.73024,0.53463,0.92752,3.77111e-05,3.77111e-05,3.77111e-05
71,319.07,0.86487,0.73151,1.04228,0.87165,0.80723,0.8836,0.73,0.73061,0.53324,0.92704,3.6533e-05,3.6533e-05,3.6533e-05
72,324.117,0.82941,0.68998,1.02519,0.883,0.7988,0.88097,0.73012,0.73061,0.53245,0.92695,3.53549e-05,3.53549e-05,3.53549e-05
73,327.783,0.83692,0.71193,1.0253,0.89314,0.80045,0.88276,0.72836,0.72781,0.53028,0.92573,3.41768e-05,3.41768e-05,3.41768e-05
74,331.405,0.81958,0.69632,1.02462,0.90176,0.80134,0.88292,0.73108,0.72497,0.52734,0.92472,3.29987e-05,3.29987e-05,3.29987e-05
75,336.291,0.85505,0.73685,1.05694,0.88811,0.80349,0.8834,0.7329,0.72279,0.52251,0.9238,3.18206e-05,3.18206e-05,3.18206e-05
76,341.086,0.85919,0.70953,1.02402,0.90442,0.80102,0.88031,0.73327,0.72209,0.51981,0.92341,3.06425e-05,3.06425e-05,3.06425e-05
77,344.722,0.79693,0.67207,1.02945,0.87267,0.80948,0.8802,0.73056,0.72131,0.51785,0.92287,2.94644e-05,2.94644e-05,2.94644e-05
78,348.347,0.80772,0.68399,1.02413,0.86659,0.81407,0.88193,0.73079,0.72257,0.51749,0.92268,2.82863e-05,2.82863e-05,2.82863e-05
79,353.637,0.83737,0.68372,1.02715,0.87368,0.80566,0.88064,0.73049,0.72045,0.51642,0.92216,2.71082e-05,2.71082e-05,2.71082e-05
80,358.218,0.81645,0.68399,1.0151,0.92118,0.79217,0.88319,0.73154,0.71832,0.516,0.92093,2.59301e-05,2.59301e-05,2.59301e-05
81,361.896,0.87842,0.72768,1.03368,0.92543,0.7922,0.88533,0.73325,0.7169,0.51395,0.92076,2.4752e-05,2.4752e-05,2.4752e-05
82,365.518,0.81337,0.71971,1.02053,0.92176,0.79698,0.88593,0.7346,0.71759,0.51428,0.92045,2.35739e-05,2.35739e-05,2.35739e-05
83,370.991,0.83841,0.69154,1.02373,0.92757,0.79354,0.88562,0.73194,0.71774,0.51387,0.92068,2.23958e-05,2.23958e-05,2.23958e-05
84,375.186,0.81796,0.6975,1.03923,0.92362,0.79715,0.88508,0.7326,0.71725,0.51486,0.9203,2.12177e-05,2.12177e-05,2.12177e-05
85,378.845,0.84345,0.68766,1.03618,0.92398,0.79656,0.88659,0.73398,0.71628,0.51414,0.91973,2.00396e-05,2.00396e-05,2.00396e-05
86,382.574,0.8327,0.69945,1.03514,0.92152,0.79707,0.88779,0.73253,0.71476,0.51187,0.91913,1.88615e-05,1.88615e-05,1.88615e-05
87,388.224,0.8316,0.69857,1.03133,0.9276,0.79332,0.88584,0.73359,0.71281,0.51222,0.91821,1.76834e-05,1.76834e-05,1.76834e-05
88,392.174,0.82768,0.70117,1.03883,0.92938,0.79277,0.88569,0.73275,0.71188,0.51004,0.91719,1.65053e-05,1.65053e-05,1.65053e-05
89,395.849,0.80177,0.6804,1.03072,0.92489,0.79653,0.88743,0.73394,0.71033,0.50801,0.91682,1.53272e-05,1.53272e-05,1.53272e-05
90,399.555,0.81284,0.69485,1.02139,0.92493,0.79517,0.88999,0.73611,0.70826,0.50778,0.9159,1.41491e-05,1.41491e-05,1.41491e-05
91,408.023,0.89233,0.74688,1.04453,0.91822,0.79986,0.88638,0.73304,0.7123,0.51036,0.91648,1.2971e-05,1.2971e-05,1.2971e-05
92,412.089,0.85705,0.7544,1.00509,0.91118,0.79949,0.88162,0.72884,0.71963,0.52196,0.91799,1.17929e-05,1.17929e-05,1.17929e-05
